,ALG,DATASET,method,vMAE,vSTD,eMAE,vs
212,KNeighborsRegressor,CPT+clinical+PT,SL,1.1835978862056244,0.14871048248316582,0.8559635772016678,[-1.31080755 -0.92999476 -1.2816815  -1.2978929  -1.09761273]
213,AdaBoostRegressor,CPT+clinical+PT,SL,1.215393925197843,0.1198012330322183,0.802846467459481,[-1.25090561 -1.04503767 -1.40052054 -1.24476592 -1.13573989]
214,LinearRegression,CPT+clinical+PT,SL,1.154983956422162,0.11486959006302483,0.7717194576765051,[-1.27495384 -1.2189097  -0.99846847 -1.24765155 -1.03493622]
215,SVR,CPT+clinical+PT,SL,1.1006736009298146,0.13241565676211875,0.746873087748556,[-1.20556383 -1.02697274 -0.91584594 -1.28990299 -1.0650825 ]
216,DecisionTreeRegressor,CPT+clinical+PT,SL,1.5143860115471326,0.18027875856197187,0.8931480505795575,[-1.22427348 -1.62180936 -1.73926057 -1.58086822 -1.40571842]
217,RandomForestRegressor,CPT+clinical+PT,SL,1.2283264831122704,0.05978047135342758,0.8480864592601984,[-1.14984509 -1.21055702 -1.23091228 -1.21599744 -1.33432058]
218,MLPRegressor,CPT+clinical+PT,SL,1.5424652833667558,0.5402362665886404,0.8078386779838379,[-1.26246446 -1.3392969  -1.43138035 -2.59810716 -1.08107755]
219,Lasso,CPT+clinical+PT,SL,1.119638970428354,0.14662518665847854,0.8141199930639846,[-1.26181235 -1.01849315 -0.91594368 -1.30663459 -1.09531107]
220,GradientBoostingRegressor,CCT+clinical+CT,SL,1.1345239246559387,0.1403907713481227,0.8429965288611635,[-1.29145036 -1.05484003 -0.9263316  -1.28847042 -1.11152721]
221,BaggingRegressor,CCT+clinical+CT,SL,1.333783789954338,0.08077479699375434,1.0097123287671232,[-1.35035959 -1.28231164 -1.20583904 -1.42113014 -1.40927854]
222,KNeighborsRegressor,CCT+clinical+CT,SL,1.1918769660071031,0.1342479677052604,0.8868797564687976,[-1.30761035 -1.15129376 -0.96328006 -1.34290335 -1.19429731]
223,AdaBoostRegressor,CCT+clinical+CT,SL,1.2804717358700275,0.1919469194498037,0.7906011880052977,[-1.49150629 -1.16955387 -1.07794549 -1.53307041 -1.13028261]
224,LinearRegression,CCT+clinical+CT,SL,1.1880912757190936,0.09332755818374085,0.8034253189222312,[-1.26008962 -1.05759443 -1.10773625 -1.30870347 -1.2063326 ]
225,SVR,CCT+clinical+CT,SL,1.103716181371419,0.13274334500652032,0.769722123577229,[-1.2075291  -1.02394617 -0.91504283 -1.29046889 -1.08159392]
226,DecisionTreeRegressor,CCT+clinical+CT,SL,1.5485116045484195,0.18058608077897956,1.2845422374429223,[-1.54996453 -1.87773157 -1.48336914 -1.32864869 -1.5028441 ]
227,RandomForestRegressor,CCT+clinical+CT,SL,1.2858058225926912,0.12514316817116172,0.866090468103803,[-1.36942323 -1.16377519 -1.10557904 -1.39944421 -1.39080744]
228,MLPRegressor,CCT+clinical+CT,SL,1.519453560122312,0.1558609063924559,0.876960052020384,[-1.52078321 -1.26358439 -1.62266405 -1.72529039 -1.46494575]
229,Lasso,CCT+clinical+CT,SL,1.119638970428354,0.14662518665847854,0.8141199930639846,[-1.26181235 -1.01849315 -0.91594368 -1.30663459 -1.09531107]
230,GradientBoostingRegressor,FPT+clinical,SL,1.1189335370670936,0.16225405863814543,0.8420898752638699,[-1.27793071 -0.9407629  -0.93601965 -1.32178558 -1.11816885]
231,BaggingRegressor,FPT+clinical,SL,1.3455486301369863,0.184437617262009,0.9802328767123285,[-1.50962329 -1.19613014 -1.16837329 -1.62205479 -1.23156164]
232,KNeighborsRegressor,FPT+clinical,SL,1.2016032470826992,0.1757465850918604,0.852800608828006,[-1.41010274 -0.9821347  -1.08574962 -1.40877093 -1.12125824]
233,AdaBoostRegressor,FPT+clinical,SL,1.1727121599571535,0.13108590352193303,0.9060799652497036,[-1.32139111 -0.96519654 -1.15513065 -1.30451727 -1.11732524]
234,LinearRegression,FPT+clinical,SL,1.1327278319938583,0.1723194746313883,0.8233222057003886,[-1.2136093  -0.88454945 -1.06710301 -1.40555814 -1.09281926]
235,SVR,FPT+clinical,SL,1.0805215018765892,0.1439235376005969,0.7709782197037838,[-1.21413133 -0.93396614 -0.91139831 -1.2691845  -1.07392723]
236,DecisionTreeRegressor,FPT+clinical,SL,1.433630540520005,0.30025958556795457,0.9348318804483189,[-1.27643309 -1.34743151 -1.28562819 -2.0294153  -1.22924462]
237,RandomForestRegressor,FPT+clinical,SL,1.2573245793289618,0.12476964488830922,0.9784647863709234,[-1.29300748 -1.14401185 -1.12602599 -1.47282801 -1.25074957]
238,MLPRegressor,FPT+clinical,SL,1.6194249679350001,0.09768726482400011,1.1335595043299587,[-1.47535612 -1.57199853 -1.62535063 -1.65115343 -1.77326612]
239,Lasso,FPT+clinical,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
240,GradientBoostingRegressor,CPT+clinical,SL,1.1050236003960057,0.15375484466954611,0.8083621989801804,[-1.27920531 -0.91508332 -0.94557731 -1.26683752 -1.11841454]
